Year,Temp,Precipitation,PlantedAcreage,Harvested,Production,Yieldperharvested,Cashprices,Inflation
1976,51.50,2.61,78.72,67.63,"5,840.76",86.40,2.61,24.68541975
1977,51.47,1.76,84.59,71.51,"6,289.17",88.00,2.22,26.10162896
1978,52.55,1.58,84.33,71.61,"6,505.04",90.80,2.06,27.7947007
1979,51.05,3.18,81.68,71.93,"7,267.93",101.00,2.30,29.92029039
1980,50.88,3.31,81.39,72.40,"7,928.14",109.50,2.55,33.2911235
1981,52.39,2.65,84.04,72.96,"6,639.40",91.00,3.24,37.78854466
1982,53.12,0.98,84.10,74.52,"8,118.65",108.90,2.46,41.68663482
1983,51.35,2.84,81.86,72.72,"8,235.10",113.20,2.71,44.25478835
1984,51.88,2.08,60.21,51.48,"4,174.25",81.10,3.33,45.67644476
1985,51.98,1.35,80.52,71.90,"7,672.13",106.70,2.65,47.64841978
1986,51.30,1.42,83.40,75.21,"8,875.45",118.00,2.22,49.3452355
1987,53.32,1.45,76.58,68.91,"8,225.76",119.40,1.51,50.26243319
1988,53.33,2.17,66.20,59.51,"7,131.30",119.80,2.03,52.14268844
1989,52.63,1.97,67.72,58.25,"4,928.68",84.60,2.57,54.23313484
1990,51.84,2.05,72.32,64.78,"7,531.95",116.30,2.46,56.8509699
1991,53.51,2.79,74.17,66.95,"7,934.03",118.50,2.34,59.91976049
1992,53.16,2.37,75.96,68.82,"7,474.77",108.60,2.45,62.45734075
1993,52.60,2.08,79.31,72.08,"9,476.70",131.50,2.12,64.34906098
1994,51.26,3.20,73.24,62.93,"6,337.73",100.70,2.54,66.24842452
1995,52.87,2.24,78.92,72.51,"10,050.52",138.60,2.34,67.9758135
1996,52.65,3.18,71.48,65.21,"7,400.05",113.50,3.91,69.88282035
1997,51.89,2.82,79.23,72.64,"9,232.56",127.10,2.74,71.93122852
1998,52.20,2.81,79.54,72.67,"9,206.83",126.70,2.45,73.61275761
1999,54.23,3.36,80.17,72.59,"9,758.69",134.40,1.97,74.75543306
2000,53.88,3.13,77.39,70.49,"9,430.61",133.80,1.86,76.39110227
2001,53.27,2.14,79.55,72.44,"9,915.05",136.90,1.88,78.97072076
2002,53.70,1.85,75.70,68.77,"9,502.58",138.20,2.00,81.20256846
2003,53.21,2.01,78.89,69.33,"8,966.79",129.30,2.34,82.49046688
2004,53.26,1.33,78.60,70.94,"10,087.29",142.20,2.52,84.36307882
2005,53.10,1.97,80.93,73.63,"11,805.58",160.30,1.93,86.62167812
2006,53.64,2.70,81.78,75.12,"11,112.19",147.90,2.00,89.56053237
2007,54.25,2.61,78.33,70.64,"10,531.12",149.10,3.33,92.44970508
2008,53.65,2.22,93.53,86.52,"13,037.88",150.70,4.79,95.08699238
2009,52.29,2.21,85.98,78.57,"12,043.20",153.30,3.68,98.73747739
2010,52.39,1.60,86.38,79.49,"13,067.16",164.40,3.45,98.38641997
2011,52.98,2.62,88.19,81.45,"12,425.33",152.60,6.33,100
2012,53.18,1.65,91.94,83.88,"12,313.96",146.80,6.60,103.1568416
2013,55.28,2.09,97.29,87.37,"10,755.11",123.10,7.03,105.2915045
2014,52.43,2.37,95.37,87.45,"13,828.96",158.10,4.31,106.8338489
2015,52.54,1.37,90.60,83.14,"14,215.53",171.00,3.53,108.5669321
2016,54.40,1.83,88.00,80.75,"13,601.20",168.44,3.56,108.695722
2017,54.91,2.04,94.15,86.55,"15,092.91",,,110.0670089
